Weekday,Day,Week_Number,Month,Year
Sunday,19/04/2020,16,April,2020
Monday,20/04/2020,17,April,2020
Tuesday,21/04/2020,17,April,2020
Wednesday,22/04/2020,17,April,2020
Thursday,23/04/2020,17,April,2020
Friday,24/04/2020,17,April,2020
Saturday,25/04/2020,17,April,2020
Sunday,26/04/2020,17,April,2020
Monday,27/04/2020,18,April,2020
Tuesday,28/04/2020,18,April,2020
Wednesday,29/04/2020,18,April,2020
Thursday,30/04/2020,18,April,2020
Friday,01/05/2020,18,May,2020
Saturday,02/05/2020,18,May,2020
Sunday,03/05/2020,18,May,2020
Monday,04/05/2020,19,May,2020
Tuesday,05/05/2020,19,May,2020
Wednesday,06/05/2020,19,May,2020
Thursday,07/05/2020,19,May,2020
Friday,08/05/2020,19,May,2020
Saturday,09/05/2020,19,May,2020
Sunday,10/05/2020,19,May,2020
Monday,11/05/2020,20,May,2020
Tuesday,12/05/2020,20,May,2020
Wednesday,13/05/2020,20,May,2020
Thursday,14/05/2020,20,May,2020
Friday,15/05/2020,20,May,2020
Saturday,16/05/2020,20,May,2020
Sunday,17/05/2020,20,May,2020
Monday,18/05/2020,21,May,2020
Tuesday,19/05/2020,21,May,2020
Wednesday,20/05/2020,21,May,2020
Thursday,21/05/2020,21,May,2020
Friday,22/05/2020,21,May,2020
Saturday,23/05/2020,21,May,2020
Sunday,24/05/2020,21,May,2020
Monday,25/05/2020,22,May,2020
Tuesday,26/05/2020,22,May,2020
Wednesday,27/05/2020,22,May,2020
Thursday,28/05/2020,22,May,2020
Friday,29/05/2020,22,May,2020
Saturday,30/05/2020,22,May,2020
Sunday,31/05/2020,22,May,2020
Monday,01/06/2020,23,June,2020
Tuesday,02/06/2020,23,June,2020
Wednesday,03/06/2020,23,June,2020
Thursday,04/06/2020,23,June,2020
Friday,05/06/2020,23,June,2020
Saturday,06/06/2020,23,June,2020
Sunday,07/06/2020,23,June,2020
Monday,08/06/2020,24,June,2020
Tuesday,09/06/2020,24,June,2020
Wednesday,10/06/2020,24,June,2020
Thursday,11/06/2020,24,June,2020
Friday,12/06/2020,24,June,2020
Saturday,13/06/2020,24,June,2020
Sunday,14/06/2020,24,June,2020
Monday,15/06/2020,25,June,2020
Tuesday,16/06/2020,25,June,2020
Wednesday,17/06/2020,25,June,2020
Thursday,18/06/2020,25,June,2020
Friday,19/06/2020,25,June,2020
Saturday,20/06/2020,25,June,2020
Sunday,21/06/2020,25,June,2020
Monday,22/06/2020,26,June,2020
Tuesday,23/06/2020,26,June,2020
Wednesday,24/06/2020,26,June,2020
Thursday,25/06/2020,26,June,2020
Friday,26/06/2020,26,June,2020
Saturday,27/06/2020,26,June,2020
Sunday,28/06/2020,26,June,2020
Monday,29/06/2020,27,June,2020
Tuesday,30/06/2020,27,June,2020
Wednesday,01/07/2020,27,July,2020
Thursday,02/07/2020,27,July,2020
Friday,03/07/2020,27,July,2020
Saturday,04/07/2020,27,July,2020
Sunday,05/07/2020,27,July,2020
Monday,06/07/2020,28,July,2020
Tuesday,07/07/2020,28,July,2020
Wednesday,08/07/2020,28,July,2020
Thursday,09/07/2020,28,July,2020
Friday,10/07/2020,28,July,2020
Saturday,11/07/2020,28,July,2020
Sunday,12/07/2020,28,July,2020
Monday,13/07/2020,29,July,2020
Tuesday,14/07/2020,29,July,2020
Wednesday,15/07/2020,29,July,2020
Thursday,16/07/2020,29,July,2020
Friday,17/07/2020,29,July,2020
Saturday,18/07/2020,29,July,2020
Sunday,19/07/2020,29,July,2020
Monday,20/07/2020,30,July,2020
Tuesday,21/07/2020,30,July,2020
Wednesday,22/07/2020,30,July,2020
Thursday,23/07/2020,30,July,2020
Friday,24/07/2020,30,July,2020
Saturday,25/07/2020,30,July,2020
Sunday,26/07/2020,30,July,2020
Monday,27/07/2020,31,July,2020
Tuesday,28/07/2020,31,July,2020
Wednesday,29/07/2020,31,July,2020
Thursday,30/07/2020,31,July,2020
Friday,31/07/2020,31,July,2020
Saturday,01/08/2020,31,August,2020
Sunday,02/08/2020,31,August,2020
Monday,03/08/2020,32,August,2020
Tuesday,04/08/2020,32,August,2020
Wednesday,05/08/2020,32,August,2020
Thursday,06/08/2020,32,August,2020
Friday,07/08/2020,32,August,2020
Saturday,08/08/2020,32,August,2020
Sunday,09/08/2020,32,August,2020
Monday,10/08/2020,33,August,2020
Tuesday,11/08/2020,33,August,2020
Wednesday,12/08/2020,33,August,2020
Thursday,13/08/2020,33,August,2020
Friday,14/08/2020,33,August,2020
Saturday,15/08/2020,33,August,2020
Sunday,16/08/2020,33,August,2020
Monday,17/08/2020,34,August,2020
Tuesday,18/08/2020,34,August,2020
Wednesday,19/08/2020,34,August,2020
Thursday,20/08/2020,34,August,2020
Friday,21/08/2020,34,August,2020
Saturday,22/08/2020,34,August,2020
Sunday,23/08/2020,34,August,2020
Monday,24/08/2020,35,August,2020
Tuesday,25/08/2020,35,August,2020
Wednesday,26/08/2020,35,August,2020
Thursday,27/08/2020,35,August,2020
Friday,28/08/2020,35,August,2020
Saturday,29/08/2020,35,August,2020
Sunday,30/08/2020,35,August,2020
Monday,31/08/2020,36,August,2020
Tuesday,01/09/2020,36,September,2020
Wednesday,02/09/2020,36,September,2020
Thursday,03/09/2020,36,September,2020
Friday,04/09/2020,36,September,2020
Saturday,05/09/2020,36,September,2020
Sunday,06/09/2020,36,September,2020
Monday,07/09/2020,37,September,2020
Tuesday,08/09/2020,37,September,2020
Wednesday,09/09/2020,37,September,2020
Thursday,10/09/2020,37,September,2020
Friday,11/09/2020,37,September,2020
Saturday,12/09/2020,37,September,2020
Sunday,13/09/2020,37,September,2020
Monday,14/09/2020,38,September,2020
Tuesday,15/09/2020,38,September,2020
Wednesday,16/09/2020,38,September,2020
Thursday,17/09/2020,38,September,2020
Friday,18/09/2020,38,September,2020
Saturday,19/09/2020,38,September,2020
Sunday,20/09/2020,38,September,2020
Monday,21/09/2020,39,September,2020
Tuesday,22/09/2020,39,September,2020
Wednesday,23/09/2020,39,September,2020
Thursday,24/09/2020,39,September,2020
Friday,25/09/2020,39,September,2020
Saturday,26/09/2020,39,September,2020
Sunday,27/09/2020,39,September,2020
Monday,28/09/2020,40,September,2020
Tuesday,29/09/2020,40,September,2020
Wednesday,30/09/2020,40,September,2020
Thursday,01/10/2020,40,October,2020
Friday,02/10/2020,40,October,2020
Saturday,03/10/2020,40,October,2020
Sunday,04/10/2020,40,October,2020
Monday,05/10/2020,41,October,2020
Tuesday,06/10/2020,41,October,2020
Wednesday,07/10/2020,41,October,2020
Thursday,08/10/2020,41,October,2020
Friday,09/10/2020,41,October,2020
Saturday,10/10/2020,41,October,2020
Sunday,11/10/2020,41,October,2020
Monday,12/10/2020,42,October,2020
Tuesday,13/10/2020,42,October,2020
Wednesday,14/10/2020,42,October,2020
Thursday,15/10/2020,42,October,2020
Friday,16/10/2020,42,October,2020
Saturday,17/10/2020,42,October,2020
Sunday,18/10/2020,42,October,2020
Monday,19/10/2020,43,October,2020
Tuesday,20/10/2020,43,October,2020
Wednesday,21/10/2020,43,October,2020
Thursday,22/10/2020,43,October,2020
Friday,23/10/2020,43,October,2020
Saturday,24/10/2020,43,October,2020
Sunday,25/10/2020,43,October,2020
Monday,26/10/2020,44,October,2020
Tuesday,27/10/2020,44,October,2020
Wednesday,28/10/2020,44,October,2020
Thursday,29/10/2020,44,October,2020
Friday,30/10/2020,44,October,2020
Saturday,31/10/2020,44,October,2020
Sunday,01/11/2020,44,November,2020
Monday,02/11/2020,45,November,2020
Tuesday,03/11/2020,45,November,2020
Wednesday,04/11/2020,45,November,2020
Thursday,05/11/2020,45,November,2020
Friday,06/11/2020,45,November,2020
Saturday,07/11/2020,45,November,2020
Sunday,08/11/2020,45,November,2020
Monday,09/11/2020,46,November,2020
Tuesday,10/11/2020,46,November,2020
Wednesday,11/11/2020,46,November,2020
Thursday,12/11/2020,46,November,2020
Friday,13/11/2020,46,November,2020
Saturday,14/11/2020,46,November,2020
Sunday,15/11/2020,46,November,2020
Monday,16/11/2020,47,November,2020
Tuesday,17/11/2020,47,November,2020
Wednesday,18/11/2020,47,November,2020
Thursday,19/11/2020,47,November,2020
Friday,20/11/2020,47,November,2020
Saturday,21/11/2020,47,November,2020
Sunday,22/11/2020,47,November,2020
Monday,23/11/2020,48,November,2020
Tuesday,24/11/2020,48,November,2020
Wednesday,25/11/2020,48,November,2020
Thursday,26/11/2020,48,November,2020
Friday,27/11/2020,48,November,2020
Saturday,28/11/2020,48,November,2020
Sunday,29/11/2020,48,November,2020
Monday,30/11/2020,49,November,2020
Tuesday,01/12/2020,49,December,2020
Wednesday,02/12/2020,49,December,2020
Thursday,03/12/2020,49,December,2020
Friday,04/12/2020,49,December,2020
Saturday,05/12/2020,49,December,2020
Sunday,06/12/2020,49,December,2020
Monday,07/12/2020,50,December,2020
Tuesday,08/12/2020,50,December,2020
Wednesday,09/12/2020,50,December,2020
Thursday,10/12/2020,50,December,2020
Friday,11/12/2020,50,December,2020
Saturday,12/12/2020,50,December,2020
Sunday,13/12/2020,50,December,2020
Monday,14/12/2020,51,December,2020
Tuesday,15/12/2020,51,December,2020
Wednesday,16/12/2020,51,December,2020
Thursday,17/12/2020,51,December,2020
Friday,18/12/2020,51,December,2020
Saturday,19/12/2020,51,December,2020
Sunday,20/12/2020,51,December,2020
Monday,21/12/2020,52,December,2020
Tuesday,22/12/2020,52,December,2020
Wednesday,23/12/2020,52,December,2020
Thursday,24/12/2020,52,December,2020
Friday,25/12/2020,52,December,2020
Saturday,26/12/2020,52,December,2020
Sunday,27/12/2020,52,December,2020
Monday,28/12/2020,53,December,2020
Tuesday,29/12/2020,53,December,2020
Wednesday,30/12/2020,53,December,2020
Thursday,31/12/2020,53,December,2020
